Commodity,State,Location,Year,Date,Planted,Emerged,Silking,Dough,Dented,Mature,Harvested
Corn,Illinois,Illinois-W,2000,4/16/00,13,,,,,,
Corn,Illinois,Illinois-W,2000,4/23/00,28,,,,,,
Corn,Illinois,Illinois-W,2000,4/30/00,64,,,,,,
Corn,Illinois,Illinois-W,2000,5/7/00,93,,,,,,
Corn,Illinois,Illinois-W,2000,5/14/00,98,,,,,,
Corn,Illinois,Illinois-W,2000,7/2/00,,,10,,,,
Corn,Illinois,Illinois-W,2000,7/9/00,,,44,,,,
Corn,Illinois,Illinois-W,2000,7/16/00,,,84,,,,
Corn,Illinois,Illinois-W,2000,7/23/00,,,97,33,,,
Corn,Illinois,Illinois-W,2000,7/30/00,,,99,52,21,,
Corn,Illinois,Illinois-W,2000,8/6/00,,,100,71,52,,
Corn,Illinois,Illinois-W,2000,8/13/00,,,,84,53,,
Corn,Illinois,Illinois-W,2000,8/20/00,,,,94,67,9,
Corn,Illinois,Illinois-W,2000,8/27/00,,,,98,79,9,
Corn,Illinois,Illinois-W,2000,9/3/00,,,,99,84,31,
Corn,Illinois,Illinois-W,2000,9/10/00,,,,,95,60,3
Corn,Illinois,Illinois-W,2000,9/17/00,,,,,99,90,16
Corn,Illinois,Illinois-W,2000,9/24/00,,,,,,98,30
Corn,Illinois,Illinois-W,2000,10/1/00,,,,,,99,47
Corn,Illinois,Illinois-W,2000,10/8/00,,,,,,,61
Corn,Illinois,Illinois-W,2000,10/15/00,,,,,,,79
Corn,Illinois,Illinois-W,2000,10/22/00,,,,,,,91
Corn,Illinois,Illinois-W,2000,10/29/00,,,,,,,94
Corn,Illinois,Illinois-W,2000,11/5/00,,,,,,,97
Corn,Illinois,Illinois-W,2001,4/22/01,9,,,,,,
Corn,Illinois,Illinois-W,2001,4/29/01,34,,,,,,
Corn,Illinois,Illinois-W,2001,5/6/01,86,,,,,,
Corn,Illinois,Illinois-W,2001,5/13/01,94,,,,,,
Corn,Illinois,Illinois-W,2001,7/1/01,,,2,,,,
Corn,Illinois,Illinois-W,2001,7/8/01,,,19,,,,
Corn,Illinois,Illinois-W,2001,7/15/01,,,65,5,,,
Corn,Illinois,Illinois-W,2001,7/22/01,,,93,10,,,
Corn,Illinois,Illinois-W,2001,7/29/01,,,94,30,4,,
Corn,Illinois,Illinois-W,2001,8/5/01,,,,51,12,,
Corn,Illinois,Illinois-W,2001,8/12/01,,,,78,27,,
Corn,Illinois,Illinois-W,2001,8/19/01,,,,86,61,3,
Corn,Illinois,Illinois-W,2001,8/26/01,,,,95,79,14,
Corn,Illinois,Illinois-W,2001,9/2/01,,,,,85,16,
Corn,Illinois,Illinois-W,2001,9/9/01,,,,,94,32,1
Corn,Illinois,Illinois-W,2001,9/16/01,,,,,96,72,5
Corn,Illinois,Illinois-W,2001,9/23/01,,,,,,91,11
Corn,Illinois,Illinois-W,2001,9/30/01,,,,,,94,23
Corn,Illinois,Illinois-W,2001,10/7/01,,,,,,100,40
Corn,Illinois,Illinois-W,2001,10/14/01,,,,,,,56
Corn,Illinois,Illinois-W,2001,10/21/01,,,,,,,63
Corn,Illinois,Illinois-W,2001,10/28/01,,,,,,,72
Corn,Illinois,Illinois-W,2001,11/4/01,,,,,,,88
Corn,Illinois,Illinois-W,2001,11/11/01,,,,,,,96
Corn,Illinois,Illinois-W,2001,11/18/01,,,,,,,99
Corn,Illinois,Illinois-W,2002,4/21/02,32,,,,,,
Corn,Illinois,Illinois-W,2002,4/28/02,48,,,,,,
Corn,Illinois,Illinois-W,2002,5/5/02,52,,,,,,
Corn,Illinois,Illinois-W,2002,5/12/02,68,,,,,,
Corn,Illinois,Illinois-W,2002,5/19/02,71,,,,,,
Corn,Illinois,Illinois-W,2002,5/26/02,78,,,,,,
Corn,Illinois,Illinois-W,2002,6/2/02,89,,,,,,
Corn,Illinois,Illinois-W,2002,6/9/02,99,,,,,,
Corn,Illinois,Illinois-W,2002,7/14/02,,,43,,,,
Corn,Illinois,Illinois-W,2002,7/21/02,,,73,11,,,
Corn,Illinois,Illinois-W,2002,7/28/02,,,91,21,,,
Corn,Illinois,Illinois-W,2002,8/4/02,,,98,33,,,
Corn,Illinois,Illinois-W,2002,8/11/02,,,,56,13,,
Corn,Illinois,Illinois-W,2002,8/18/02,,,,73,24,,
Corn,Illinois,Illinois-W,2002,8/25/02,,,,86,40,,
Corn,Illinois,Illinois-W,2002,9/1/02,,,,94,68,17,
Corn,Illinois,Illinois-W,2002,9/8/02,,,,,82,23,
Corn,Illinois,Illinois-W,2002,9/15/02,,,,,95,54,3
Corn,Illinois,Illinois-W,2002,9/22/02,,,,,98,61,5
Corn,Illinois,Illinois-W,2002,9/29/02,,,,,,89,21
Corn,Illinois,Illinois-W,2002,10/6/02,,,,,,97,38
Corn,Illinois,Illinois-W,2002,10/13/02,,,,,,100,59
Corn,Illinois,Illinois-W,2002,10/20/02,,,,,,,76
Corn,Illinois,Illinois-W,2002,10/27/02,,,,,,,89
Corn,Illinois,Illinois-W,2002,11/3/02,,,,,,,94
Corn,Illinois,Illinois-W,2002,11/10/02,,,,,,,95
Corn,Illinois,Illinois-W,2002,11/17/02,,,,,,,98
Corn,Illinois,Illinois-W,2003,4/13/03,2,,,,,,
Corn,Illinois,Illinois-W,2003,4/20/03,13,,,,,,
Corn,Illinois,Illinois-W,2003,4/27/03,25,3,,,,,
Corn,Illinois,Illinois-W,2003,5/4/03,41,10,,,,,
Corn,Illinois,Illinois-W,2003,5/11/03,65,36,,,,,
Corn,Illinois,Illinois-W,2003,5/18/03,75,51,,,,,
Corn,Illinois,Illinois-W,2003,5/25/03,95,63,,,,,
Corn,Illinois,Illinois-W,2003,6/1/03,99,88,,,,,
Corn,Illinois,Illinois-W,2003,6/8/03,100,99,,,,,
Corn,Illinois,Illinois-W,2003,6/15/03,,99,,,,,
Corn,Illinois,Illinois-W,2003,7/6/03,,,4,,,,
Corn,Illinois,Illinois-W,2003,7/13/03,,,25,,,,
Corn,Illinois,Illinois-W,2003,7/20/03,,,69,2,,,
Corn,Illinois,Illinois-W,2003,7/27/03,,,86,7,,,
Corn,Illinois,Illinois-W,2003,8/3/03,,,95,22,,,
Corn,Illinois,Illinois-W,2003,8/10/03,,,98,47,,,
Corn,Illinois,Illinois-W,2003,8/17/03,,,,76,11,,
Corn,Illinois,Illinois-W,2003,8/24/03,,,,93,15,,
Corn,Illinois,Illinois-W,2003,8/31/03,,,,98,63,2,
Corn,Illinois,Illinois-W,2003,9/7/03,,,,99,65,12,
Corn,Illinois,Illinois-W,2003,9/14/03,,,,,84,21,2
Corn,Illinois,Illinois-W,2003,9/21/03,,,,,97,62,5
Corn,Illinois,Illinois-W,2003,9/28/03,,,,,,85,14
Corn,Illinois,Illinois-W,2003,10/5/03,,,,,,98,23
Corn,Illinois,Illinois-W,2003,10/12/03,,,,,,99,46
Corn,Illinois,Illinois-W,2003,10/19/03,,,,,,,56
Corn,Illinois,Illinois-W,2003,10/26/03,,,,,,,78
Corn,Illinois,Illinois-W,2003,11/2/03,,,,,,,94
Corn,Illinois,Illinois-W,2003,11/9/03,,,,,,,95
Corn,Illinois,Illinois-W,2003,11/16/03,,,,,,,98
Corn,Illinois,Illinois-W,2003,11/23/03,,,,,,,98
Corn,Illinois,Illinois-W,2004,4/11/04,6,,,,,,
Corn,Illinois,Illinois-W,2004,4/18/04,54,,,,,,
Corn,Illinois,Illinois-W,2004,4/25/04,73,,,,,,
Corn,Illinois,Illinois-W,2004,5/2/04,93,44,,,,,
Corn,Illinois,Illinois-W,2004,5/9/04,98,72,,,,,
Corn,Illinois,Illinois-W,2004,5/16/04,99,88,,,,,
Corn,Illinois,Illinois-W,2004,5/23/04,,96,,,,,
Corn,Illinois,Illinois-W,2004,5/30/04,,97,,,,,
Corn,Illinois,Illinois-W,2004,6/6/04,,98,,,,,
Corn,Illinois,Illinois-W,2004,6/20/04,,,2,,,,
Corn,Illinois,Illinois-W,2004,6/27/04,,,13,,,,
Corn,Illinois,Illinois-W,2004,7/4/04,,,40,,,,
Corn,Illinois,Illinois-W,2004,7/11/04,,,78,4,,,
Corn,Illinois,Illinois-W,2004,7/18/04,,,85,15,,,
Corn,Illinois,Illinois-W,2004,7/25/04,,,,32,,,
Corn,Illinois,Illinois-W,2004,8/1/04,,,,58,10,,
Corn,Illinois,Illinois-W,2004,8/8/04,,,,70,19,,
Corn,Illinois,Illinois-W,2004,8/15/04,,,,77,40,,
Corn,Illinois,Illinois-W,2004,8/22/04,,,,92,58,,
Corn,Illinois,Illinois-W,2004,8/29/04,,,,93,70,,
Corn,Illinois,Illinois-W,2004,9/5/04,,,,,92,19,
Corn,Illinois,Illinois-W,2004,9/12/04,,,,,98,47,2
Corn,Illinois,Illinois-W,2004,9/19/04,,,,,99,76,
Corn,Illinois,Illinois-W,2004,9/26/04,,,,,,93,28
Corn,Illinois,Illinois-W,2004,10/3/04,,,,,,99,45
Corn,Illinois,Illinois-W,2004,10/10/04,,,,,,,64
Corn,Illinois,Illinois-W,2004,10/17/04,,,,,,,70
Corn,Illinois,Illinois-W,2004,10/24/04,,,,,,,79
Corn,Illinois,Illinois-W,2004,10/31/04,,,,,,,82
Corn,Illinois,Illinois-W,2004,11/7/04,,,,,,,89
Corn,Illinois,Illinois-W,2004,11/14/04,,,,,,,95
Corn,Illinois,Illinois-W,2005,4/10/05,20,,,,,,
Corn,Illinois,Illinois-W,2005,4/17/05,44,,,,,,
Corn,Illinois,Illinois-W,2005,4/24/05,74,26,,,,,
Corn,Illinois,Illinois-W,2005,5/1/05,82,39,,,,,
Corn,Illinois,Illinois-W,2005,5/8/05,95,60,,,,,
Corn,Illinois,Illinois-W,2005,5/15/05,99,83,,,,,
Corn,Illinois,Illinois-W,2005,5/22/05,,95,,,,,
Corn,Illinois,Illinois-W,2005,5/29/05,,99,,,,,
Corn,Illinois,Illinois-W,2005,6/5/05,,99,,,,,
Corn,Illinois,Illinois-W,2005,7/3/05,,,26,,,,
Corn,Illinois,Illinois-W,2005,7/10/05,,,54,,,,
Corn,Illinois,Illinois-W,2005,7/17/05,,,87,15,,,
