Commodity,State,Location,Year,Date,Planted,Emerged,Silking,Dough,Dented,Mature,Harvested
Corn,Illinois,Illinois,2000,4/2/00,0,,,,,,
Corn,Illinois,Illinois,2000,4/9/00,4,,,,,,
Corn,Illinois,Illinois,2000,4/16/00,13,,,,,,
Corn,Illinois,Illinois,2000,4/23/00,31,3,,,,,
Corn,Illinois,Illinois,2000,4/30/00,58,11,,,,,
Corn,Illinois,Illinois,2000,5/7/00,91,38,,,,,
Corn,Illinois,Illinois,2000,5/14/00,98,82,,,,,
Corn,Illinois,Illinois,2000,5/21/00,99,93,,,,,
Corn,Illinois,Illinois,2000,5/28/00,,97,,,,,
Corn,Illinois,Illinois,2000,6/4/00,,99,,,,,
Corn,Illinois,Illinois,2000,6/25/00,,,3,,,,
Corn,Illinois,Illinois,2000,7/2/00,,,11,,,,
Corn,Illinois,Illinois,2000,7/9/00,,,36,3,,,
Corn,Illinois,Illinois,2000,7/16/00,,,73,9,,,
Corn,Illinois,Illinois,2000,7/23/00,,,92,23,2,,
Corn,Illinois,Illinois,2000,7/30/00,,,98,47,10,,
Corn,Illinois,Illinois,2000,8/6/00,,,99,65,20,,
Corn,Illinois,Illinois,2000,8/13/00,,,,80,38,3,
Corn,Illinois,Illinois,2000,8/20/00,,,,89,52,9,
Corn,Illinois,Illinois,2000,8/27/00,,,,95,68,10,
Corn,Illinois,Illinois,2000,9/3/00,,,,98,83,32,1
Corn,Illinois,Illinois,2000,9/10/00,,,,99,93,53,4
Corn,Illinois,Illinois,2000,9/17/00,,,,,98,77,13
Corn,Illinois,Illinois,2000,9/24/00,,,,,,94,31
Corn,Illinois,Illinois,2000,10/1/00,,,,,,99,44
Corn,Illinois,Illinois,2000,10/8/00,,,,,,,58
Corn,Illinois,Illinois,2000,10/15/00,,,,,,,74
Corn,Illinois,Illinois,2000,10/22/00,,,,,,,86
Corn,Illinois,Illinois,2000,10/29/00,,,,,,,94
Corn,Illinois,Illinois,2000,11/5/00,,,,,,,98
Corn,Illinois,Illinois,2000,11/12/00,,,,,,,99
Corn,Illinois,Illinois,2000,11/19/00,,,,,,,99
Corn,Illinois,Illinois,2001,4/1/01,0,,,,,,
Corn,Illinois,Illinois,2001,4/8/01,1,,,,,,
Corn,Illinois,Illinois,2001,4/15/01,5,0,,,,,
Corn,Illinois,Illinois,2001,4/22/01,19,3,,,,,
Corn,Illinois,Illinois,2001,4/29/01,51,14,,,,,
Corn,Illinois,Illinois,2001,5/6/01,91,43,,,,,
Corn,Illinois,Illinois,2001,5/13/01,97,80,,,,,
Corn,Illinois,Illinois,2001,5/20/01,99,92,,,,,
Corn,Illinois,Illinois,2001,5/27/01,99,95,,,,,
Corn,Illinois,Illinois,2001,6/3/01,,98,,,,,
Corn,Illinois,Illinois,2001,6/10/01,,99,,,,,
Corn,Illinois,Illinois,2001,6/24/01,,,3,,,,
Corn,Illinois,Illinois,2001,7/1/01,,,11,,,,
Corn,Illinois,Illinois,2001,7/8/01,,,29,1,,,
Corn,Illinois,Illinois,2001,7/15/01,,,62,8,,,
Corn,Illinois,Illinois,2001,7/22/01,,,87,21,1,,
Corn,Illinois,Illinois,2001,7/29/01,,,95,38,6,,
Corn,Illinois,Illinois,2001,8/5/01,,,99,56,13,,
Corn,Illinois,Illinois,2001,8/12/01,,,,78,32,2,
Corn,Illinois,Illinois,2001,8/19/01,,,,90,57,12,
Corn,Illinois,Illinois,2001,8/26/01,,,,96,72,18,
Corn,Illinois,Illinois,2001,9/2/01,,,,99,86,27,
Corn,Illinois,Illinois,2001,9/9/01,,,,,93,52,3
Corn,Illinois,Illinois,2001,9/16/01,,,,,98,71,9
Corn,Illinois,Illinois,2001,9/23/01,,,,,99,86,17
Corn,Illinois,Illinois,2001,9/30/01,,,,,,94,31
Corn,Illinois,Illinois,2001,10/7/01,,,,,,98,47
Corn,Illinois,Illinois,2001,10/14/01,,,,,,,55
Corn,Illinois,Illinois,2001,10/21/01,,,,,,,66
Corn,Illinois,Illinois,2001,10/28/01,,,,,,,74
Corn,Illinois,Illinois,2001,11/4/01,,,,,,,88
Corn,Illinois,Illinois,2001,11/11/01,,,,,,,96
Corn,Illinois,Illinois,2001,11/18/01,,,,,,,98
Corn,Illinois,Illinois,2002,3/31/02,0,,,,,,
Corn,Illinois,Illinois,2002,4/7/02,0,,,,,,
Corn,Illinois,Illinois,2002,4/14/02,1,,,,,,
Corn,Illinois,Illinois,2002,4/21/02,18,1,,,,,
Corn,Illinois,Illinois,2002,4/28/02,25,5,,,,,
Corn,Illinois,Illinois,2002,5/5/02,30,12,,,,,
Corn,Illinois,Illinois,2002,5/12/02,51,25,,,,,
Corn,Illinois,Illinois,2002,5/19/02,51,33,,,,,
Corn,Illinois,Illinois,2002,5/26/02,74,49,,,,,
Corn,Illinois,Illinois,2002,6/2/02,91,68,,,,,
Corn,Illinois,Illinois,2002,6/9/02,99,90,,,,,
Corn,Illinois,Illinois,2002,6/16/02,,98,,,,,
Corn,Illinois,Illinois,2002,6/23/02,,99,0,,,,
Corn,Illinois,Illinois,2002,6/30/02,,,1,,,,
Corn,Illinois,Illinois,2002,7/7/02,,,9,0,,,
Corn,Illinois,Illinois,2002,7/14/02,,,29,2,,,
Corn,Illinois,Illinois,2002,7/21/02,,,59,9,0,,
